claim_id,premise_id,claim_text,premise_text,predicted,ground_truth,error_type
627026,627028,THW replay international sporting events if an extreme umpiring error affects the result....,"Without further delay, the rebuttal: ""Bad calls are a part of almost every single game or match ever...",con,pro,pro -> con
627026,627030,THW replay international sporting events if an extreme umpiring error affects the result....,"Good day, everyone. In the light of such incidents as that of Thiery Henry's hand-assistance for the...",con,pro,pro -> con
627032,627034,THW Require the Provision of Cannabis in Any State Funded Medical Program...,In most countries where there is an acceptance of the medical value of cannabis it is fairly easily ...,pro,con,con -> pro
627032,627035,THW Require the Provision of Cannabis in Any State Funded Medical Program...,All drugs can be used for a variety of purposes some appropriate some inappropriate that’s a matter ...,con,pro,pro -> con
627032,627037,THW Require the Provision of Cannabis in Any State Funded Medical Program...,For governments to refuse treatment on the basis of an unreasonable assertion is cruel and blindly i...,con,pro,pro -> con
627048,627051,THW Temporarily Ban Muslim Immigration...,"With nothing to respond to, I see no reason to push my point further. Con having forfeited the round...",con,pro,pro -> con
627048,627053,THW Temporarily Ban Muslim Immigration...,"Introduction When we incite terrorist attacks, we are actively harming innocent civilians, an utterl...",pro,con,con -> pro
627076,627078,THW: ban public breastfeeding...,"well, if they cover up, FINE. But you saying we see women's breasts all over is a bad argument, you ...",con,pro,pro -> con
627076,627079,THW: ban public breastfeeding...,"On the idea that it could ruin kids"" innocence: Well it won""t for exactly that reason- the kids are ...",pro,con,con -> pro
627083,627086,THW: ban smoking everywhere...,"In this place called Earth, there are an intelligent species called humans. These humans have a set ...",pro,con,con -> pro
627104,627105,THW: Encourage the construction of gender-neutral bathrooms...,Bathrooms should be gendered to protect the privacy and safety of those using them. When one walks i...,pro,con,con -> pro
627110,627113,THW: make coding classes mandatory in secondary schools...,"Don't have really much of an opinion on this but i decided to take up on the challenge, But my reaso...",pro,con,con -> pro
627119,627121,THW: make vaccinations against deadly diseases mandatory unless there is a medical exemption...,"I'm sorry to hear about your contraction of whooping cough, what a teribble thing to have to endure....",pro,con,con -> pro
627119,627122,THW: make vaccinations against deadly diseases mandatory unless there is a medical exemption...,"When I was seventeen, I contracted whooping cough. I spent months unable to exercise properly, and s...",con,pro,pro -> con
627130,627132,THW: take a one-way trip to Mars...,"Humanity will be the cause of its own demise. Our need for survival is instinctive, however, all of ...",pro,con,con -> pro
627130,627134,THW: take a one-way trip to Mars...,A sense of entitlement is entrenched in human nature. We perceive ourselves as being superior in eve...,pro,con,con -> pro
627139,627138,Tibet independence...,Tibetan exiles forgo any right to self-determination by acting violently and repressively...,pro,con,con -> pro
627139,627140,Tibet independence...,Money funneled into cultural restoration projects is aimed only at attracting foreign tourists....,con,pro,pro -> con
627139,627141,Tibet independence...,China unjustly and brutally expelled Tibetan officials when it invaded...,con,pro,pro -> con
627139,627142,Tibet independence...,Tibet independence would reduce the risks of Tibetan refugee crises....,con,pro,pro -> con
627139,627151,Tibet independence...,The right to self-determination must be offered sparingly to avoid international instability....,pro,con,con -> pro
627139,627157,Tibet independence...,China already offers Tibet a right to self-determination with a level of autonomy....,pro,con,con -> pro
627139,627158,Tibet independence...,Tibetan students can't discuss Tibetan social issues...,con,pro,pro -> con
627316,627317,tibet should be an independent state...,Tibet has made enormous strides under Chinese rule...,pro,con,con -> pro
627316,627319,tibet should be an independent state...,Tibet is a distinct nation with a distinct history that China illegally invaded...,con,pro,pro -> con
627316,627322,tibet should be an independent state...,Tibet presents an explosive domestic political issue for China which the latter would benefit from e...,con,pro,pro -> con
627316,627323,tibet should be an independent state...,Tibetans are rapidly becoming a minority in their own country...,con,pro,pro -> con
627582,627583,Tidal energy...,Potential energy-production of tidal power is immense...,con,pro,pro -> con
627582,627585,Tidal energy...,Tidal energy can lead to prolonged and undesirable winter icing....,pro,con,con -> pro
627582,627586,Tidal energy...,Tidal energy supply is out of sink with peak energy demand....,pro,con,con -> pro
627582,627588,Tidal energy...,"Tidal energy can impair the natural ""flushing"" of water ecosystems....",pro,con,con -> pro
627582,627589,Tidal energy...,Tidal energy production varies with tides; requires stand-by power...,pro,con,con -> pro
627582,627593,Tidal energy...,Tidal energy systems can disrupt recreational activities....,pro,con,con -> pro
627582,627594,Tidal energy...,Offshore turbines don't hamper the flow of tides....,con,pro,pro -> con
627582,627597,Tidal energy...,Tidal energy can't produce enough electricity to replace nuclear....,pro,con,con -> pro
627642,627641,Tidepods Taste Good...,Tidepods might look good but they're filled with toxic chemicals which kill you if digested. My favo...,pro,con,con -> pro
627642,627644,Tidepods Taste Good...,"By the look on the faces of people who've eaten them, I'd say they don't taste very good. Look up so...",pro,con,con -> pro
627671,627670,Tiger vs. Lion...,"An African lion is larger cat than a Bengal tiger,with average length of 3.5m with the tail and 227-...",pro,con,con -> pro
627671,627673,Tiger vs. Lion...,That question was a problem since Romans. However archaeologists never find out who won. The most co...,pro,con,con -> pro
627671,627675,Tiger vs. Lion...,Now Jaw Force. I tell this to everybody. You don't need that much to kill. Lions can kill a well mus...,pro,con,con -> pro
627701,627704,Tigers are better than lions...,"Yes but lions are called the king of the cats. They have a beautiful golden coat, and a lovely mane....",pro,con,con -> pro
627845,627856,Time does not exist...,"Again, just because you can't influence, interact, control, affect, whatever with something doesn't ...",pro,con,con -> pro
627845,627860,Time does not exist...,"Of course time is real. It is simply a unit of measurement, such as inches or meters. It's really as...",pro,con,con -> pro
627845,627866,Time does not exist...,"True, the perception of time exists. Just as exists any idea or hypothetical, anything exists in the...",pro,con,con -> pro
627892,627895,time for The Nickoledeon to show homosexual/lesbian heroes/heroins in cartoon movies...,Thank you for the debate. I am interested to see your points to support your argument. I am taking t...,con,pro,pro -> con
628142,628143,Time Travel Into the Past Might Be Possible (Not Requiring the Help of God)...,"""The government could quite easily limit successfully. When a person goes back in time when they are...",con,pro,pro -> con
628142,628145,Time Travel Into the Past Might Be Possible (Not Requiring the Help of God)...,"""The government could probably limit how many people could go all the way back to certain periods of...",con,pro,pro -> con
628142,628146,Time Travel Into the Past Might Be Possible (Not Requiring the Help of God)...,"""1. They would never be able to disguise as regular people. That never works. If they were doing tha...",con,pro,pro -> con
628142,628148,Time Travel Into the Past Might Be Possible (Not Requiring the Help of God)...,"""I can do this. If time travel backwards was possible, we would have time tourists. http://en.wikipe...",con,pro,pro -> con
628142,628150,Time Travel Into the Past Might Be Possible (Not Requiring the Help of God)...,"Thank you for starting this debate. Alright, you're basically arguing that backwards time-travel is ...",pro,con,con -> pro
628142,628151,Time Travel Into the Past Might Be Possible (Not Requiring the Help of God)...,Time travel backwards is impossible. It will never be done. Things that already occurred were not re...,pro,con,con -> pro
628251,628250,Tipping waiters for their services is an inferior and inefficient system...,Tipping waiters has become almost ritualistic in today’s society. So ritualistic that waiters and wa...,con,pro,pro -> con
628251,628252,Tipping waiters for their services is an inferior and inefficient system...,"Tipping, its defenders say, improves service by rewarding good waiters and punishing bad ones Typica...",pro,con,con -> pro
628382,628383,to ban smoking in all public places...,"While yes, the closure of pubs is unfortunate, it would be wrong not to look at the big picture. In ...",pro,con,con -> pro
628382,628386,to ban smoking in all public places...,"With that said, let us continue. Yes, smokers have a right too enjoy themselves, but no at the expen...",pro,con,con -> pro
628827,628828,To withdraw troops from japan...,"I agree that Japan needs our troops to deal with their neighboring countries, but the japanese resid...",pro,con,con -> pro
628827,628829,To withdraw troops from japan...,"I believe that the U.S.military troops should not withdraw from Japan. As news media report, anti-Ja...",con,pro,pro -> con
628827,628830,To withdraw troops from japan...,I take Con side. This is a serious and imminent problem when we take the international situation sur...,pro,con,con -> pro
629053,629054,"Today, festivals in India are more money and glamour rather than culture and tradition...",India is a country with a vast diversity in religions. All kinds of people live here. Diversity in r...,con,pro,pro -> con
